Candidate,Party,Status,State,Constituency,Age,Gender
P. MACHAVALLAVAN,Independent,Accepted,Tamil Nadu ,Manachanallur,51,male
D.VENUGOPAL,Independent,Accepted,Tamil Nadu ,Shozhinganallur,57,male
R. Shanmugam,Indiya Jananayaka Katchi,Accepted,Puducherry ,THATTANCHAVADY,45,male
M.Chinnadurai,Communist Party of India  (Marxist),Accepted,Tamil Nadu ,Gandarvakkottai,58,male
P THANGARAJ,Independent,Accepted,Tamil Nadu ,Madathukulam,47,male
N.KRISHNAN,Independent,Accepted,Tamil Nadu ,Bodinayakanur,58,male
SUDARVIZHI K,Independent,Accepted,Tamil Nadu ,Jayankondam,42,female
"Sathya,B.",Naam Tamilar Katchi,Rejected,Tamil Nadu ,Tirunelveli,43,female
MAHENDRA CHANDRA DAS,Independent,Rejected,Assam ,GAUHATI WEST    ,61,male
Radhakrishnan,Indian National Congress,Rejected,Tamil Nadu ,Vriddhachalam,53,male
AYOOB KHAN PV,Independent,Withdrawn,Kerala ,THAVANUR,32,male
PANDEESWARAN M,Independent,Accepted,Tamil Nadu ,Palani,37,male
GOKULAKRISHNAN M,Independent,Accepted,Tamil Nadu ,Tindivanam,29,male
VEERAMALAI S,Independent,Accepted,Tamil Nadu ,Athoor,46,male
SEKARAN,Dravida Munnetra Kazhagam,Rejected,Tamil Nadu ,Thiruverumbur,64,male
Astam Kumar Malick,Independent,Withdrawn,West Bengal ,Jangipara,48,male
Ashok Barman,Communist Party of India  (Marxist),Accepted,West Bengal ,Mathabhanga,38,male
MALAICHAMY A,Independent,Accepted,Tamil Nadu ,Sholavandan,51,male
P.GANESH KUMAR,Makkal Needhi Maiam,Rejected,Tamil Nadu ,Bodinayakanur,48,male
Saraladevi.V,Amma Makkal Munnettra Kazagam,Rejected,Tamil Nadu ,Kangayam,42,female
MARUTHAIYAN G,Independent,Accepted,Tamil Nadu ,Kilvelur,73,male
A. Sathiah,Independent,Withdrawn,Tamil Nadu ,Sivaganga,57,male
P. MATHIVANAN,Independent,Withdrawn,Puducherry ,OUSSUDU,48,male
"SENGUTTUVAN, R.",Independent,Rejected,Tamil Nadu ,Kunnam,40,male
KANNAPIRAN V,Dravida Murpokku Makkal Katchi,Accepted,Tamil Nadu ,Coimbatore (North),39,male
BABU K G,Independent,Accepted,Kerala ,KUNNAMANGALAM,75,male
Prince,Independent,Accepted,Kerala ,VARKALA,39,male
SHAHUL HAMEED M,Independent,Accepted,Tamil Nadu ,Palladam,35,male
R. Rajendhiran,Makkal Needhi Maiam,Accepted,Puducherry ,THATTANCHAVADY,56,male
BHARATH V,My India Party,Accepted,Tamil Nadu ,Usilampatti,29,male
P.M.SHIBU,Bahujan Samaj Party,Accepted,Kerala ,THRIKKAKARA,39,male
V.RAMPRAKAASH,Independent,Accepted,Tamil Nadu ,Bodinayakanur,43,male
RENU SURESH,Bharatiya Janata Party,Accepted,Kerala ,KUNNATHUNAD ,44,female
E.Manoharan,Dravida Munnetra Kazhagam,Rejected,Tamil Nadu ,Tambaram,62,male
ABDUR RAHIM ALI,Independent,Accepted,Assam ,CHENGA   ,48,male
Palanisamy.A,Bahujan Samaj Party,Accepted,Tamil Nadu ,Kallakurichi,50,male
K.Murugavelrajan,Dravida Munnetra Kazhagam,Rejected,Tamil Nadu ,Nilakkottai,53,male
"PRAVEEN RAJ, S.",Dravida Munnetra Kazhagam,Rejected,Tamil Nadu ,Perambalur,29,male
Adv. V. R. SUNILKUMAR,Communist Party of India,Accepted,Kerala ,KODUNGALLUR,52,male
SUKUMAR NASKAR,Independent,Accepted,West Bengal ,Baruipur Paschim,40,male
RAMACHANDRAN.R,Independent,Accepted,Tamil Nadu ,Pallavaram,28,male
"MAHALAKSHMI, M.",Independent,Accepted,Tamil Nadu ,Srivilliputhur,37,female
SHAJI T. GEORGE,Bahujan Samaj Party,Accepted,Kerala ,CHENGANNUR,48,male
"Varadharaj, S.",Independent,Rejected,Tamil Nadu ,Pollachi,58,male
SATHEESAN P,Independent,Accepted,Kerala ,KANNUR,43,male
M.S VISWANATHAN,Communist Party of India  (Marxist),Accepted,Kerala ,SULTHANBATHERY,49,male
M THANIVEL,Independent,Withdrawn,Tamil Nadu ,Tiruvannamalai,48,male
SUNDARAM N,Independent,Accepted,Tamil Nadu ,Paramathi-Velur,50,male
Suriyakumar.K,Independent,Accepted,Tamil Nadu ,Kavundampalayam,31,male
SANJEEVI S,Independent,Accepted,Tamil Nadu ,Thousand Lights,48,male
VELLA DURAI,Makkal Needhi Maiam,Rejected,Tamil Nadu ,Nanguneri,33,male
ABDUL WAHAB .M,Dravida Munnetra Kazhagam,Rejected,Tamil Nadu ,Palayamkottai,54,male
CHINNAPOONU.A,Anaithu Makkal Puratchi Katchi,Rejected,Tamil Nadu ,Harur,55,female
MARIMUTHU P,Independent,Withdrawn,Tamil Nadu ,Vilathikulam,34,male
Chitharanjan,Communist Party of India  (Marxist),Accepted,Kerala ,ALAPPUZHA,58,male
M.SUTHANTHIRAVEL,Independent,Rejected,Tamil Nadu ,Bodinayakanur,66,male
KALIDASS,Independent,Accepted,Tamil Nadu ,Dr.Radhakrishnan Nagar,55,male
J KUMARAGURU,Independent,Withdrawn,Puducherry ,MANAVELY,54,male
NURUL ISLAM,Rashtriya Lok Samta Party,Accepted,Assam ,CHAYGAON   ,53,male
DILLI K,Independent,Rejected,Tamil Nadu ,Ponneri,40,male
Joshy Vattoly,Independent,Accepted,Kerala ,CHALAKKUDY,43,male
BABU VARGHESE VATTOLI,Bahujan Samaj Party,Accepted,Kerala ,IDUKKI,53,male
"BALAMURUGAN,A.",Independent,Accepted,Tamil Nadu ,Tiruchirappalli (East),42,male
Siva.K,Tamil Nadu Ilangyar Katchi,Accepted,Tamil Nadu ,Kavundampalayam,51,male
GOPINATH E,Independent,Accepted,Tamil Nadu ,Sankarapuram,42,male
KALAVATHI. G,Makkal Needhi Maiam,Accepted,Tamil Nadu ,Polur,55,female
Niranjan.R,Independent,Accepted,Tamil Nadu ,Mayiladuthurai,37,male
T.RAJA MOHAMED,Independent,Accepted,Tamil Nadu ,Bodinayakanur,48,male
THIRUVENGADAM,Dravida Munnetra Kazhagam,Rejected,Puducherry ,MUDALIARPET,60,male
JINU,Independent,Accepted,Kerala ,THRIKKAKARA,37,male
C. ARULMANI,Akila India Vallalar Peravai,Accepted,Tamil Nadu ,Manachanallur,64,male
PALRAJ R,Independent,Accepted,Tamil Nadu ,Athoor,37,female
ABDUL MAJEETH,Independent,Accepted,Tamil Nadu ,Ambasamudram,40,male
A.JELVIS MOHAN,Independent,Rejected,Tamil Nadu ,Velachery,53,male
Abdul Jalil Talukdar,All India Trinamool Congress,Accepted,Assam ,JANIA   ,63,male
MURUGESAN. D,Independent,Accepted,Tamil Nadu ,Polur,52,male
NIRMAL KUMAR M,Independent,Accepted,Tamil Nadu ,Manapparai,41,male
SASIKUMAR.K.S,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,Accepted,Tamil Nadu ,Krishnagiri,46,male
NIRANDARI.V,Naam Tamilar Katchi,Rejected,Tamil Nadu ,Krishnagiri,26,female
BABU JOSEPH ERUMALA,Independent,Accepted,Kerala ,PERUMBAVOOR,58,male
SIVANANTHAM.K,Naam Tamilar Katchi,Rejected,Tamil Nadu ,Kangayam,33,male
KARUPPUSAMY N,Independent,Rejected,Tamil Nadu ,Oddanchatram,24,male
THANGARASU M,Independent,Accepted,Tamil Nadu ,Paramathi-Velur,29,male
J. PRAKASH KUMAR,Independent,Accepted,Puducherry ,MUTHIALPET,39,male
M.RAJESWARIPRIYA,Anaithu Makkal Arasiyal Katchi,Accepted,Tamil Nadu ,Shozhinganallur,38,female
NAGARAJAN. C,Independent,Accepted,Tamil Nadu ,Krishnarayapuram,40,male
ARUNKUMAR M,Independent,Accepted,Tamil Nadu ,Usilampatti,33,male
T.D.Shanmugam,Independent,Accepted,Tamil Nadu ,Arcot,63,male
RAVICHANDRAN  R,Bahujan Samaj Party,Accepted,Tamil Nadu ,Nannilam,36,male
C DINESH,Makkal Needhi Maiam,Accepted,Puducherry ,BAHOUR,26,male
K.ANANDRAJ,Makkal Needhi Maiam,Accepted,Tamil Nadu ,Cuddalore,38,male
SUGUMAR. K,Independent,Accepted,Tamil Nadu ,Ponneri,40,male
S KUMARAVELU,Independent,Accepted,Puducherry ,ARIANKUPPAM,51,male
JANAKY TEACHER,Desiya Murpokku Dravida Kazhagam,Accepted,Puducherry ,MAHE,71,female
KATHIRAVAN P V,Dravida Munnetra Kazhagam,Accepted,Tamil Nadu ,Usilampatti,67,male
A. GNANASEGARAN,Desiya Murpokku Dravida Kazhagam,Accepted,Puducherry ,NEDUNGADU,48,male
SARAVANA KUMAR K R,Independent,Accepted,Tamil Nadu ,Vedasandur,33,male
ARCHANA VANDICHAL,Bharatiya Janata Party,Accepted,Kerala ,KANNUR,46,female
G.M.SENTHILMURUGAN,Independent,Accepted,Tamil Nadu ,Mudhukulathur,39,male
ASHOK MANOR,Independent,Rejected,Tamil Nadu ,Nanguneri,29,male
Manivasagam Mallar S,Bahujan Dravida Party,Rejected,Tamil Nadu ,Karaikudi,44,male
ARUNRAJ BALAN,Independent,Accepted,Tamil Nadu ,Mylapore,31,male
VIJAYACHANDRAN.G,Independent,Accepted,Tamil Nadu ,Chengam,26,male
D.VENKATESHAN,Anaithu Makkal Arasiyal Katchi,Accepted,Tamil Nadu ,Velachery,41,male
"BALASUBRAMANIAN, G.",Naam Tamilar Katchi,Rejected,Tamil Nadu ,Gudalur,45,male
RAJESH KUMAR,Bharatiya Janata Party,Rejected,Kerala ,BALUSSERI,39,male
ABDURAHIMAN,Independent,Withdrawn,Kerala ,ERANAD,49,male
MINISHREE KANAGARAJ,Naam Tamilar Katchi,Rejected,Tamil Nadu ,Pallavaram,36,female
JAHIDUL ISLAM,Independent,Accepted,Assam ,ABHAYAPURI NORTH  ,28,male
ABTABUL AMBIA MOLLAH,Janata Dal  (United),Accepted,Assam ,GOALPARA WEST   ,51,male
MANTHARA VELAYUDHAN,Independent,Accepted,Kerala ,KUNNATHUR ,50,male
K Ramakrishnan,Independent,Rejected,Tamil Nadu ,Ambattur,54,male
Anbalagan.P,Independent,Accepted,Tamil Nadu ,Sivakasi,37,male
T.RUKKURAJA,Independent,Rejected,Tamil Nadu ,Mudhukulathur,57,male
NIYAS K S/o KOYA KUNIYIL,Independent,Accepted,Kerala ,BEYPORE,48,male
THANKAPPAN C,Tamilnadu Mahatma Gandhi Makkal Katchi,Accepted,Tamil Nadu ,Killiyoor,72,male
C.PALANI,Independent,Rejected,Tamil Nadu ,Jolarpet,48,male
K K KUNHAMMAD KUTTY,Independent,Accepted,Kerala ,KUTTIADI,62,male
Adv. Sebastian Kulathunkal,Kerala Congress  (M),Accepted,Kerala ,POONJAR,55,male
NAGARAJ.N,Independent,Accepted,Tamil Nadu ,Dindigul,38,male
Vimalraj,Independent,Accepted,Tamil Nadu ,Sivaganga,26,male
BHARATHI.L,Independent,Accepted,Tamil Nadu ,Modakkurichi,46,female
C. SATHISH,Independent,Withdrawn,Tamil Nadu ,Pennagaram,31,male
THIRUMAVALAVAN T,Pattali Makkal Katchi,Rejected,Tamil Nadu ,Jayankondam,53,male
Ezhilvendan. P.,Independent,Accepted,Tamil Nadu ,Bhuvanagiri,54,male
N. VAITHIYANATHAN,Independent,Rejected,Tamil Nadu ,Kancheepuram,35,male
Adv. MATHEW T THOMAS,Janata Dal  (Secular),Accepted,Kerala ,THIRUVALLA,59,male
MOHAN A,MAKKAL SAKTHI KATCHI,Accepted,Tamil Nadu ,Tindivanam,39,male
ABDUL HAMEED V P,Indian Union Muslim League,Withdrawn,Kerala ,VALLIKKUNNU,68,male
"RAMASAMY, K.",Independent,Withdrawn,Tamil Nadu ,Srivilliputhur,49,male
S.DHIVYA,Dhesiya Makkal Kazhagam,Rejected,Tamil Nadu ,Omalur,27,female
PONNUSAMY. A,Makkal Needhi Maiam,Accepted,Tamil Nadu ,Perambur,46,male
A.SARAVANAKUMAR,Naam Indiar Party,Accepted,Tamil Nadu ,Mudhukulathur,41,male
R.RAMESH,Desiya Murpokku Dravida Kazhagam,Accepted,Tamil Nadu ,Aruppukkottai,46,male
NAGAVALLI,Independent,Accepted,Tamil Nadu ,Coimbatore (South),42,female
"SHAJAHAN,I.",Independent,Accepted,Tamil Nadu ,Erode (East),45,male
FRANCIS XAVIER RAJA,Independent,Rejected,Tamil Nadu ,Nanguneri,35,male
SIDHU G,Makkal Needhi Maiam,Accepted,Tamil Nadu ,Kilvelur,33,male
Kalyanasundaram R,Independent,Accepted,Tamil Nadu ,Tiruchendur,34,male
KARTHICK KRISHNA P,Independent,Accepted,Tamil Nadu ,Manapparai,26,male
BALAMURUGAN C,Independent,Accepted,Tamil Nadu ,Tiruchengodu,31,male
USHA,Naam Tamilar Katchi,Accepted,Tamil Nadu ,Gummidipoondi,31,female
JOSEPH SAMUEL,Dravida Munnetra Kazhagam,Accepted,Tamil Nadu ,Ambattur,58,male
C RAGHUL,Independent,Accepted,Tamil Nadu ,Ambattur,29,male
SABU,Communist Party of India  (Marxist),Rejected,Kerala ,AROOR,49,male
GANESHKUMAR.A,Indian National Congress,Rejected,Tamil Nadu ,Sivakasi,35,male
AMULKANDASAMI T K,All India Anna Dravida Munnetra Kazhagam,Accepted,Tamil Nadu ,Valparai,55,male
STANLEY.G,Independent,Accepted,Tamil Nadu ,Bhavani,47,male
J.Ravisankar Jayachanthiran,Independent,Rejected,Tamil Nadu ,Kovilpatti,48,male
CHIRAN BERA,Bharatiya Janata Party,Accepted,West Bengal ,Uluberia Uttar,32,male
Surendran,Communist Party of India  (Marxist),Withdrawn,Kerala ,WADAKKANCHERY,51,male
RAVI M,Anaithu Makkal Puratchi Katchi,Accepted,Tamil Nadu ,Oddanchatram,34,male
MADHUSUDAN BAG,Bharatiya Janata Party,Accepted,West Bengal ,Arambag,49,male
AYYAPPAN M,Indiya Jananayaka Katchi,Withdrawn,Tamil Nadu ,Tirukkoyilur,35,male
THAMILALAGAN,Independent,Accepted,Tamil Nadu ,Karur,35,male
VADUGANATHAN.R,Independent,Accepted,Tamil Nadu ,Neyveli,51,male
Chithra Sukumaran,Twenty 20 Party,Accepted,Kerala ,PERUMBAVOOR,52,female
BALADHANDAYUDHABANI.C,Amma Makkal Munnettra Kazagam,Accepted,Puducherry ,NERAVY-T.R.PATTINAM,37,male
S.AYYADURAIPANDIAN,Amma Makkal Munnettra Kazagam,Accepted,Tamil Nadu ,Kadayanallur,60,male
A . Vetriazhagan,Dravida Munnetra Kazhagam,Accepted,Tamil Nadu ,Villivakkam,42,male
SEKAR,Akhil Bharat Hindu Mahasabha,Rejected,Tamil Nadu ,Manachanallur,50,male
"THANRAJ, R.",United States of India Party,Accepted,Tamil Nadu ,Orathanadu,41,male
SARGUNAN,Naam Tamilar Katchi,Rejected,Tamil Nadu ,Manachanallur,47,male
P. RENUGA,Independent,Rejected,Tamil Nadu ,Mettur,40,female
Adv. G. Steephen,Communist Party of India  (Marxist),Accepted,Kerala ,ARUVIKKARA,51,male
SUBBULAKSHMI S,Naam Tamilar Katchi,Rejected,Tamil Nadu ,Ottapidaram,40,female
SUNDARAVADIVELU,Naam Tamilar Katchi,Accepted,Puducherry ,ARIANKUPPAM,27,male
Abdu Samad,Kerala Janatha Party,Accepted,Kerala ,POONJAR,62,male
"BHARATHI, M.",Indiya Jananayaka Katchi,Accepted,Tamil Nadu ,Sattur,30,female
VEERAPUTHIRAN,Amma Makkal Munnettra Kazagam,Accepted,Puducherry ,MANAVELY,56,male
VASANTHAN.R,Dravida Munnetra Kazhagam,Rejected,Tamil Nadu ,Cumbum,43,male
SEEMA SHAJU,Independent,Withdrawn,Kerala ,MAVELIKARA ,47,female
K.KAJA BASHEER AHAMED,Independent,Rejected,Tamil Nadu ,Thondamuthur,26,male
N.MOHANKUMAR,Independent,Rejected,Tamil Nadu ,Mettur,47,male
Mariappankennady S.,Amma Makkal Munnettra Kazagam,Accepted,Tamil Nadu ,Manamadurai,45,male
"THARUN, A.K.",Dravida Munnetra Kazhagam,Accepted,Tamil Nadu ,Veerapandi,39,male
A. ABDUL GAFOOR,Independent,Accepted,Tamil Nadu ,Thondamuthur,73,male
RUBY R MANOHARAN,Indian National Congress,Rejected,Tamil Nadu ,Nanguneri,61,male
P.JEYAPANDI,Independent,Withdrawn,Tamil Nadu ,Periyakulam,32,male
MANI R,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,Accepted,Tamil Nadu ,Ulundurpettai,60,male
SUMIT RANJAN KARAR,Bharatiya Janata Party,Accepted,West Bengal ,Udaynarayanpur,48,male
T. J. Vinod,Indian National Congress,Accepted,Kerala ,ERANAKULAM,57,male
Murali.M.K,Pattali Makkal Katchi,Rejected,Tamil Nadu ,Arcot,57,male
Arjunan M,Bahujan Samaj Party,Accepted,Tamil Nadu ,Vandavasi,45,male
"VASANTHI, M.",All India Anna Dravida Munnetra Kazhagam,Rejected,Tamil Nadu ,Srivilliputhur,42,female
DR. HARIHARAN,Independent,Withdrawn,Puducherry ,KAMARAJ NAGAR,69,male
VIKRAMATHATAN,Puthiya Tamilagam,Rejected,Tamil Nadu ,Ramanathapuram,44,male
"PERIYAR SELVAN, G.",Puthiya Tamilagam,Rejected,Tamil Nadu ,Thanjavur,28,male
V.S.ABOOBACKER,SOCIAL DEMOCRATIC PARTY OF INDIA,Accepted,Kerala ,KUNNAMKULAM,45,male
CHIDAMBARAM. V,Independent,Accepted,Tamil Nadu ,Polur,62,male
R.Mahendira Varman,Dravida Munnetra Kazhagam,Rejected,Tamil Nadu ,Kulithalai,52,male
KALYANI.P.L,All India Anna Dravida Munnetra Kazhagam,Accepted,Tamil Nadu ,Thiru-Vi-Ka-Nagar,55,female
ANIAMMA TEACHER,Bharatiya Janata Party,Accepted,Kerala ,IRIKKUR,58,female
Benny Puthenparampil (Thomas Mathew),Independent,Accepted,Kerala ,RANNI,59,male
SHANMUGAM.P.,Pattali Makkal Katchi,Withdrawn,Tamil Nadu ,Dharmapuri,51,male
P HARIKRISHNAN,Dravida Munnetra Kazhagam,Rejected,Puducherry ,BAHOUR,56,male
Durai Raj S,Akhil Bharat Hindu Mahasabha,Rejected,Tamil Nadu ,Padmanabhapuram,46,male
RUPAM KUMAR DAS,Assam Jatiya Parishad,Accepted,Assam ,BIJNI   ,30,male
MUNIYASAMY. V,Makkal Needhi Maiam,Accepted,Tamil Nadu ,Madurai West,43,male
Sivakumar S,Independent,Accepted,Tamil Nadu ,Poonamallee,51,male
PALANISAMY P,Bahujan Samaj Party,Accepted,Tamil Nadu ,Gobichettipalayam,48,male
J.Chinchurani,Communist Party of India,Accepted,Kerala ,CHADAYAMANGALAM,58,female
PALANI NADAR.S,Indian National Congress,Accepted,Tamil Nadu ,Tenkasi,68,male
PONNUTHAI,Communist Party of India  (Marxist),Accepted,Tamil Nadu ,Thiruparankundram,47,female
Babudivakaran,Revolutionary Socialist Party,Accepted,Kerala ,ERAVIPURAM,68,male
E. K. VIJAYAN,Communist Party of India,Accepted,Kerala ,NADAPURAM,68,male
C.GURUSAMY,Independent,Accepted,Tamil Nadu ,Natham,37,male
"Chandran, K.",Independent,Accepted,Tamil Nadu ,Coonoor,50,male
BALAMURUGAN,National Democratic Party of South India,Accepted,Tamil Nadu ,Andipatti,37,male
PERIASAMY R,Independent,Accepted,Tamil Nadu ,Paramathi-Velur,51,male
PRAKASH. C,Independent,Accepted,Tamil Nadu ,Saidapet,35,male
R RESMI,Indian National Congress,Rejected,Kerala ,KOTTARAKKARA,44,female
MALLIKA,Amma Makkal Munnettra Kazagam,Rejected,Tamil Nadu ,Kolathur,48,female
ANANTHAN S. P,Independent,Accepted,Tamil Nadu ,Palani,30,male
ABDUL KADHER.A,Independent,Accepted,Tamil Nadu ,Bhavani,38,male
ADV. V P ABDUL RASHEED,Indian National Congress,Accepted,Kerala ,TALIPARAMBA,30,male
KUSHBOO SUNDAR,Bharatiya Janata Party,Accepted,Tamil Nadu ,Thousand Lights,50,female
S.Umadevi,Dravida Munnetra Kazhagam,Rejected,Tamil Nadu ,Kangayam,54,female
C BALAKRISHNAN YADAV,Independent,Accepted,Kerala ,TALIPARAMBA,60,male
SELVAM,Puthiya Tamilagam,Rejected,Tamil Nadu ,Tiruvadanai,42,male
MURALI.M,Independent,Accepted,Tamil Nadu ,Karur,33,male
"DINESH BABU, D.",Independent,Accepted,Tamil Nadu ,Thanjavur,34,male
PANKAJ LOCHAN GOSWAMI,Assam Jatiya Parishad,Accepted,Assam ,PALASBARI   ,57,male
Sibu Karamcodu,Anna Democratic Human Rights Movement Party of India,Accepted,Kerala ,KUNDARA,34,male
PARAMASIVAN V,Independent,Rejected,Tamil Nadu ,Tirunelveli,42,male
K.Suresh,Independent,Accepted,Tamil Nadu ,Kulithalai,31,male
Arshad Ahmed,Independent,Accepted,Assam ,JANIA   ,53,male
PRAKASH.G,Naam Tamilar Katchi,Rejected,Tamil Nadu ,Modakkurichi,33,male
Adv. Manju K. Nair (Kottarathil),Independent,Rejected,Kerala ,RANNI,39,female
ADV.SONNYMON K MATHEW,Independent,Accepted,Kerala ,CHERTHALA,45,male
PONNUTHAI,Communist Party of India  (Marxist),Rejected,Tamil Nadu ,Thiruparankundram,47,female
"PANNEER SELVAM, A.",Independent,Rejected,Tamil Nadu ,Thanjavur,68,male
C. Raghunathan,Indian National Congress,Accepted,Kerala ,DHARMADAM,64,male
C C MUKUNDHAN,Communist Party of India,Accepted,Kerala ,NATTIKA,62,male
SHAILEN KALITA,Independent,Accepted,Assam ,DISPUR   ,54,male
SHAIK MOHAMED B,Makkal Needhi Maiam,Accepted,Tamil Nadu ,Aranthangi,54,male
A.Paramasivam,Independent,Accepted,Tamil Nadu ,Karaikudi,47,male
VASANTHARAJ P,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,Accepted,Tamil Nadu ,Bargur,47,male
JAISUDHA.V,Republican Party of India (Athawale),Accepted,Tamil Nadu ,Uthiramerur,34,female
Girindra Nath Barman,All India Trinamool Congress,Accepted,West Bengal ,Mathabhanga,66,male
R.KUMARESAN,Manitha Urimaigal Kalaagam,Accepted,Tamil Nadu ,Kumarapalayam,46,male
A C BIJU,Bahujan Samaj Party,Accepted,Kerala ,UDUMBANCHOLA,35,male
SATHYANESAN EZHIKKARA,Independent,Accepted,Kerala ,PARAVUR,55,male
M.G.R.Nambbi,All India MGR Makkal Munnetra Kazhagam,Accepted,Tamil Nadu ,Kovilpatti,65,male
Abdul Hameed,SOCIAL DEMOCRATIC PARTY OF INDIA,Withdrawn,Kerala ,PATTAMBI,49,male
S.Manoharan,Independent,Rejected,Tamil Nadu ,Thiruporur,50,male
M.A.MICHAEL RAJ,Independent,Accepted,Tamil Nadu ,Thiruvottiyur,52,male
RADHA U,Dravida Munnetra Kazhagam,Rejected,Tamil Nadu ,Sankarapuram,53,female
KRISHNAKUMAR.C,Bharatiya Janata Party,Accepted,Kerala ,MALAMPUZHA,50,male
Adv.M.Liju,Indian National Congress,Accepted,Kerala ,AMBALAPUZHA,41,male
M.H.Meharajdeen,Makkal Needhi Maiam,Accepted,Tamil Nadu ,Poompuhar,54,male
Vishnumohan .E,Independent,Accepted,Tamil Nadu ,Vellore,45,male
AMINUL ISLAM,National People's Party,Accepted,Assam ,MANKACHAR   ,73,male
HAMSA,Indian Union Muslim League,Rejected,Kerala ,KOTTAKKAL,63,male
AJIL R.A.,Independent,Accepted,Kerala ,KOVALAM,25,male
"ARAVINDAN,P.",Independent,Accepted,Tamil Nadu ,Tiruchirappalli (East),45,male
RAMESHKUMAR D,Independent,Accepted,Tamil Nadu ,Coimbatore (North),38,male
U. PRIYADARSINI,Makkal Needhi Maiam,Accepted,Tamil Nadu ,Egmore,33,female
Adv. P. A  MOHAMED RIYAS,Communist Party of India  (Marxist),Accepted,Kerala ,BEYPORE,45,male
K K SHAILAJA TEACHER,Communist Party of India  (Marxist),Accepted,Kerala ,MATTANNUR,64,female
P.KARUPPIAH,Bahujan Dravida Party,Accepted,Tamil Nadu ,Bodinayakanur,61,male
VIJAYA K,Bahujan Samaj Party,Accepted,Tamil Nadu ,Rasipuram,51,female
V.A RASHEED,SOCIAL DEMOCRATIC PARTY OF INDIA,Accepted,Kerala ,ALUVA,45,male
NAGAIMAALI V P,Communist Party of India  (Marxist),Accepted,Tamil Nadu ,Kilvelur,65,male
SARAVANAN G,Independent,Accepted,Tamil Nadu ,Srivaikuntam,47,male
SURESH RAJKUMAR.P,All India Samathuva Makhal Katchi,Withdrawn,Tamil Nadu ,Madurai South,47,male
MURUGESAN K,Independent,Accepted,Tamil Nadu ,Palladam,41,male
BOOPATHI.P,Independent,Accepted,Tamil Nadu ,Karur,28,male
C. K. Padmanabhan,Bharatiya Janata Party,Accepted,Kerala ,DHARMADAM,72,male
RATHINAM A T,Independent,Accepted,Tamil Nadu ,Nagercoil,82,male
RAJAN PAINAT,Independent,Rejected,Kerala ,KODUNGALLUR,68,male
HARIDASAN,Communist Party of India  (Marxist),Rejected,Kerala ,MANALUR,52,male
VANNI ARASU,Viduthalai Chiruthaigal Katchi,Rejected,Tamil Nadu ,Vanur,50,male
Adv. U. Prathibha,Communist Party of India  (Marxist),Accepted,Kerala ,KAYAMKULAM,43,female
MUHAMMAD MUSTHAFA,SOCIAL DEMOCRATIC PARTY OF INDIA,Accepted,Kerala ,SHORNUR,34,male
MALARVIZHI,Independent,Accepted,Tamil Nadu ,Kolathur,30,female
RAMKUMAR M,Makkal Needhi Maiam,Accepted,Tamil Nadu ,Thirumangalam,34,male
RAMASAMY P,Amma Makkal Munnettra Kazagam,Accepted,Tamil Nadu ,Vedasandur,43,male
S.RAJI,Dhesiya Makkal Kazhagam,Accepted,Tamil Nadu ,Salem (South),45,male
GANESAN. C,Independent,Accepted,Tamil Nadu ,Polur,55,male
Thamaraiselvi S.,Independent,Accepted,Tamil Nadu ,Manamadurai,27,female
P.SELVARAJ,Independent,Accepted,Tamil Nadu ,Tiruppattur,53,male
SIVAN RAJ  K,Independent,Accepted,Tamil Nadu ,Killiyoor,33,male
ALBIN MATHEW,Independent,Accepted,Kerala ,PALA,26,male
ELANGO. K,Independent,Accepted,Tamil Nadu ,Saidapet,58,male
PON.JAYASEELAN,All India Anna Dravida Munnetra Kazhagam,Accepted,Tamil Nadu ,Gudalur,48,male
DHANABAL,Independent,Accepted,Tamil Nadu ,Karur,37,male
KARTHICK,Bahujan Samaj Party,Accepted,Tamil Nadu ,Pallavaram,38,male
MONOWAR HUSSAIN,Independent,Accepted,Assam ,MANKACHAR   ,46,male
MANIVEL S,Anaithu Makkal Puratchi Katchi,Rejected,Tamil Nadu ,Veerapandi,38,male
ZABED ISLAM,Asom Gana Parishad,Accepted,Assam ,MANKACHAR   ,53,male
Parthiban. K,Desiya Murpokku Dravida Kazhagam,Rejected,Tamil Nadu ,Madurantakam,50,male
"Nagarajan, J",Independent,Accepted,Tamil Nadu ,Singanallur,53,male
THOPPU VENKATACHALAM (A) N.D .VENKATACHALAM,Independent,Accepted,Tamil Nadu ,Perundurai,56,male
SAMUVEL MARTIN A,Independent,Accepted,Tamil Nadu ,Jayankondam,28,male
P. EZHILARASAN,Independent,Accepted,Tamil Nadu ,Kancheepuram,45,male
SABIDHA S,Naam Tamilar Katchi,Rejected,Tamil Nadu ,Dharapuram,37,female
Sampath.R.V,Anna Dravidar Kazhagam,Accepted,Tamil Nadu ,Kalasapakkam,56,male
"SILAMBARASAN, J.",Independent,Accepted,Tamil Nadu ,Attur,34,male
"LAKSHMANAN, T.",Amma Makkal Munnettra Kazagam,Accepted,Tamil Nadu ,Udhagamandalam,68,male
PHANIN BORO,"United People’s Party, Liberal",Accepted,Assam ,BIJNI   ,42,male
