Candidate,Party,Status,State,Constituency,Age,Gender
Krishnendu Mukherjee,Bharatiya Janata Party,Accepted,West Bengal ,Asansol Uttar,44,male
SANTOSH KUMAR PATHAK,Indian National Congress,Accepted,West Bengal ,Chowrangee,55,male
NILKANTHA BAURI,Bahujan Mukti Party,Accepted,West Bengal ,Raniganj,32,male
MOSARROF HOSSAIN,Independent,Accepted,West Bengal ,Naoda,38,male
ANIL KUMAR SINGH,Janata Dal  (United),Accepted,West Bengal ,Chowrangee,47,male
WAHED ANSARY,Independent,Accepted,West Bengal ,Hariharpara,48,male
Sunil Thakur,Independent,Accepted,West Bengal ,Asansol Uttar,27,male
LT. GEN (DR.) SUBRATA SAHA,Bharatiya Janata Party,Accepted,West Bengal ,Rashbehari,63,male
MD. KAMAL HOSSAIN,Communist Party of India  (Marxist),Accepted,West Bengal ,Bhagabangola,45,male
ASHISH AGARWAL,Independent,Accepted,West Bengal ,Chowrangee,41,male
NABENDU KUMAR MONDAL,Independent,Accepted,West Bengal ,Jalangi,50,male
NIRMAL SOREN,Independent,Accepted,West Bengal ,Habibpur,40,male
Bablu Dey,Independent,Accepted,West Bengal ,Maniktola,32,male
JAGANNATH CHATTOPADHYAY,Bharatiya Janata Party,Accepted,West Bengal ,Suri,43,male
PRODIP BASKEY,All India Trinamool Congress,Accepted,West Bengal ,Habibpur,38,male
BHARAT CHANDRA BISWAS,Bahujan Samaj Party,Accepted,West Bengal ,Lalgola,66,male
MOTIUR RAHAMAN,All India Majlis-E-Ittehadul Muslimeen,Accepted,West Bengal ,Malatipur,32,male
DEBASISH ROY,Bharatiya Janata Party,Accepted,West Bengal ,Murarai,39,male
SINGHAN PASWEEN,Bahujan Samaj Party,Accepted,West Bengal ,Asnsol Dakshin,35,male
DHANANJOY MAZUMDAR,Independent,Accepted,West Bengal ,Suri,41,male
THAKUR TUDU,Communist Party of India  (Marxist),Accepted,West Bengal ,Habibpur,61,male
BAPI PAUL,Akhil Bharat Hindu Mahasabha,Applied,West Bengal ,Beleghata,48,male
KHOKAN SARKAR,Independent,Accepted,West Bengal ,Jangipur,52,male
RAKESH SHAW,Independent,Applied,West Bengal ,Beleghata,39,male
